affiliation,coauthorname,lat,lng,name
"Professor of Electrical and Computer Engineering, Tandon School of Engineering, New York University",Yong Liu,40.72951339999999,-73.9964609,Keith Ross
Microsoft Research,Jin Li,40.7407266,-73.9948313,Keith Ross
"School of Electronic Information and Communications, Huazhong University of Science and Technology",Xiaojun Hei,30.5130043,114.4202756,Keith Ross
"Professor, School of Electrical, Computer, and Energy Eng., Arizona State University",Martin Reisslein,33.4532165,-112.0719833,Keith Ross
Microsoft Research,Cheng Huang,40.7407266,-73.9948313,Keith Ross
"Professor of Electrical and Computer Engineering, Tandon School of Engineering, New York University",Shivendra S  Panwar,40.72951339999999,-73.9964609,Keith Ross
"Professor of Computer Science, University of Helsinki",Jussi Kangasharju,60.1726348,24.9510419,Keith Ross
"NYU-Poly, AT&T Labs",Zhengye Liu,30.3911309,-97.7516065,Keith Ross
"Professor, New York University, Tandon School of Engineering",Yao Wang,40.6942036,-73.98657899999999,Keith Ross
,Prithula Dhungel,40.6942036,-73.98657899999999,Keith Ross
"Professor of Computer Science, Sun Yat-Sen University",Di Wu,23.0965384,113.298883,Keith Ross
,Ernst Biersack,23.0965384,113.298883,Keith Ross
"student of Computer Science, polytechnic institute ",Chao Zhang,43.1352919,-75.2292116,Keith Ross
"Professor of ECE, HKUST",Danny Tsang,22.3363998,114.2654655,Keith Ross
"Professor of Computer Science, University of Neuchâtel",Pascal Felber,46.9938549,6.9387031,Keith Ross
"Assistant Professor of Practice, Shanghai New York University",Ratan Dey,31.225854,121.53415,Keith Ross
Federal University of Minas Gerais - Faculty Associate at the Berkman Klein Center at Harvard,"Virgilio Almeida, professor of Compute...",-19.870682,-43.9677359,Keith Ross
Inria,Philippe Nain,48.8370198,2.1031187,Keith Ross
Full Professor at the University of Alabama at Birmingham,Nitesh Saxena,33.5019893,-86.8064433,Keith Ross
"Lecturer (a.k.a. Assistant Professor), The University of Adelaide",Minhui Xue (Jason Xue),-34.920603,138.6062277,Keith Ross
Humboldt University and Leibniz-Institute of Freshwater Ecology and Inland Fisheries,jens krause,52.44859049999999,13.6487593,Romain
Professor of Fisheries and Aquacuture ,indar ramnarine,52.44859049999999,13.6487593,Romain
Lübeck University of Applied Sciences,Stefan Krause,53.8370378,10.700272,Romain
University of Plymouth,Alexander Wilson,50.3761866,-4.139491899999999,Romain
Max Planck Institute for Human Development,Ralf Kurvers,52.468554,13.303832,Romain
AstraZeneca,Jolyon Faria,37.9421883,-87.8405713,Romain
University of Sydney,Ashley Ward,-33.8885748,151.1873494,Romain
"Dept. of Mathematics and Computer Science, Free University Berlin",Tim Landgraf,52.4543245,13.2934768,Romain
"Director, Max Planck Institute of Animal Behavior & Prof., University of Konstanz",Iain Couzin,47.689426,9.1868777,Romain
"Department of Zoology, University of Cambridge",James Herbert-Read,52.2042666,0.1149085,Romain
"Professor of Animal Behaviour, University of Exeter, UK",Darren P Croft,55.378051,-3.435973,Romain
Humboldt Universität zu Berlin,David Bierbach,52.517883,13.3936551,Romain
"Associate Professor, Plymouth University",Nikolaus von Engelhardt,50.3761866,-4.139491899999999,Romain
Wageningen University & Research,Lysanne Snijders,51.9845558,5.6657696,Romain
Leibniz-Institute of Freshwater Ecology and Inland Fisheries,Max Wolf,52.44859049999999,13.6487593,Romain
Champalimaud Research,Gonzalo de Polavieja,38.6934964,-9.2215303,Romain
"School of Mathematics, University of Leeds",Richard P Mann,53.8066815,-1.5550328,Romain
"Professor of Mathematics, University of California at Davis",Thomas Strohmer,38.5382322,-121.7617125,Shuyang Ling
"Assistant Professor, University of California at Davis",Xiaodong Li,38.5382322,-121.7617125,Shuyang Ling
Fudan University,Ke Wei,31.2974197,121.5036178,Shuyang Ling
"Professor of Mathematics, ETH Zurich",Afonso S. Bandeira,47.37638889999999,8.547628,Shuyang Ling
Fudan University,Yimin Wei,31.2974197,121.5036178,Shuyang Ling
Yale University,Ruitu Xu,41.3163244,-72.92234309999999,Shuyang Ling
University of Antwerp,David Martens,51.2228097,4.4102318,Enric Junque
"Professor, New York University",Foster Provost,40.72951339999999,-73.9964609,Enric Junque
"Professor of Computational Linguistics, University of Antwerp",Walter Daelemans,51.2228097,4.4102318,Enric Junque
University of Antwerp,Tom De Smedt,51.2228097,4.4102318,Enric Junque
"Assistant Professor of Information Systems, University of Maryland Smith School of Business",Jessica M Clark,38.9829242,-76.94697459999999,Enric Junque
INSEAD,Theodoros Evgeniou,48.40530469999999,2.6862974,Enric Junque
"University of Antwerp, Belgium",Ellen Tobback,50.503887,4.469936,Enric Junque
"Associate professor, KU Leuven",Bart Baesens,50.87795449999999,4.7002953,Enric Junque
"Professor of Finance, INSEAD",Theo Vermaelen,48.40530469999999,2.6862974,Enric Junque
"dr. ir. Anna Hristoskova, Department of Information Technology, iMinds, Ghent University",Anna Hristoskova,51.0465619,3.727918099999999,Enric Junque
Ghent University - imec,Filip De Turck,51.04893029999999,3.7288653,Enric Junque
KU Leuven,Bart Baesens,50.87795449999999,4.7002953,Enric Junque
"University of Michigan, Ann Arbor",Yafeng Yin,42.2808256,-83.7430378,Zhibin Chen
"Associate Professor, Department of Industrial Engineering, Tsinghua University",FANG HE （何方）,39.9996674,116.3264439,Zhibin Chen
Tongji University,Yuchuan Du,31.2627211,121.4598975,Zhibin Chen
"University of New South Wales, Sydney",Wei LIU,-33.8688197,151.2092955,Zhibin Chen
"Professor, Department of Civil, Materials, and Environmental Engineering, University of Illinois at",Jane Lin,40.1019523,-88.2271615,Zhibin Chen
McTrans Center | University of Florida,Gustavo Riente de Andrade,29.6436325,-82.3549302,Zhibin Chen
Central South University,YE LI,28.16437,112.93251,Zhibin Chen
"Professor of Computer Science, Carnegie Mellon University",Roger B. Dannenberg,40.4427314,-79.9429552,Gus Xia
"Research Scientist, Netflix Inc.",Dawen Liang,37.2595658,-121.962695,Gus Xia
"PhD student, Carnegie Mellon University",Shuqi Dai,40.4427314,-79.9429552,Gus Xia
"Herbert A. Simon University Professor of Computer Science, Carnegie Mellon University",Manuela M. Veloso,40.4427314,-79.9429552,Gus Xia
"Ph.D. student, Carnegie Mellon University and Nanyang Technological University",Junyun Tay,40.4427314,-79.9429552,Gus Xia
"Associate Professor in Computer Science, University College London",Nicolas Gold,51.52455920000001,-0.1340401,Gus Xia
CMU,Christos Faloutsos,40.4427314,-79.9429552,Gus Xia
"Applied Scientist, Amazon.Com",Yifei Ma,38.7768106,-94.94429819999999,Gus Xia
Research Scientist at Facebook,Yun Wang (Maigo),38.7768106,-94.94429819999999,Gus Xia
Chief Engineer at ObEN,Mark J. Harvilla,56.415157,-5.471047,Gus Xia
HiBot Corp.,Salvatore Sessa,35.6187627,139.7344174,Gus Xia
"Leonard J. Shustek Professor of Computer Science, Dept. of Computer Science and Engineering, NYU",Keith Ross,40.72951339999999,-73.9964609,Ratan Dey
New York University,Yuan Ding,40.72951339999999,-73.9964609,Ratan Dey
"Professor of Electrical and Computer Engineering, Tandon School of Engineering, New York University",Yong Liu,40.72951339999999,-73.9964609,Ratan Dey
Temi Group and PKU,Cong Tang,40.72951339999999,-73.9964609,Ratan Dey
