cites,name,title,year
5765,Keith Ross,Computer networking: a top-down approach featuring the Internet,2012.0
2095,Keith Ross,Named data networking,2014.0
1188,Keith Ross,A measurement study of a large-scale P2P IPTV system,2007.0
1128,Keith Ross,Multiservice loss models for broadband telecommunication networks,2012.0
1093,Keith Ross,"Interconnections: Bridges, Routers, Switches and Internetworking Protocols, 2/e",2000.0
607,Keith Ross,Object replication strategies in content distribution networks,2002.0
605,Keith Ross,Redes de Computadores ea Internet: uma abordagem top-down,2007.0
597,Keith Ross,Redes de Computadores e a Internet,2006.0
492,Keith Ross,Pollution in P2P file sharing systems,2005.0
444,Keith Ross,Stochastic fluid theory for P2P streaming systems,2007.0
358,Keith Ross,Hierarchical peer-to-peer systems,2003.0
349,Keith Ross,Video-on-demand over ATM: Constant-rate transmission and transport,1996.0
339,Keith Ross,The Stochastic Knapsack,1989.0
294,Keith Ross,The Index Poisoning Attack in P2P File Sharing Systems.,2006.0
271,Keith Ross,Hash routing for collections of shared web caches,1997.0
257,Keith Ross,Insights into pplive: A measurement study of a large-scale p2p iptv system,2006.0
252,Keith Ross,IPTV over P2P streaming networks: the mesh-pull approach,2008.0
239,Keith Ross,Inferring network-wide quality in P2P live streaming systems,2007.0
229,Keith Ross,Optimal policies for controlled Markov chains with a constraint,1985.0
225,Keith Ross,Determining Network Delay and CDN Deployment,2010.0
224,Keith Ross,The kazaa overlay: A measurement study,2005.0
213,Keith Ross,Computing approximate blocking probabilities for large loss networks with state-dependent routing,1993.0
210,Keith Ross,On demand peer-to-peer video streaming with multiple description coding,2009.0
207,Keith Ross,Understanding hybrid CDN-P2P: why limelight needs its own Red Swoosh,2008.0
204,Keith Ross,Measuring and evaluating large-scale CDNs,2008.0
202,Keith Ross,Reduced load approximations for multirate loss networks,1993.0
199,Keith Ross,Queuing network models for multi-channel P2P live streaming systems,2009.0
185,Keith Ross,Facebook users have become much more private: A large-scale study,2012.0
185,Keith Ross,Implementation and evaluation of cooperative communication schemes in software-defined radio testbed,2010.0
182,Keith Ross,Unraveling the bittorrent ecosystem,2010.0
180,Keith Ross,The FastTrack overlay: A measurement study,2006.0
178,Keith Ross,Optimal circuit access policies in an ISDN environment: A Markov decision approach,1989.0
174,Keith Ross,Exploiting p2p systems for ddos attacks,2006.0
174,Keith Ross,Distributing layered encoded video through caches,2002.0
169,Keith Ross,LayerP2P: Using layered video chunks in P2P live streaming,2009.0
164,Keith Ross,Randomized and past-dependent policies for Markov decision processes with multiple constraints,1989.0
160,Keith Ross,The pollution attack in P2P live video streaming: measurement results and defenses,2007.0
146,Keith Ross,Using layered video to provide incentives in P2P live streaming,2007.0
144,Keith Ross,Understanding kazaa,2004.0
134,Keith Ross,On the optimal control of two queues with server setup times and its analysis,1987.0
133,Keith Ross,View-upload decoupling: A redesign of multi-channel P2P video systems,2009.0
131,Keith Ross,Identifying video spammers in online social networks,2008.0
130,Keith Ross,Optimal peer selection for P2P downloading and streaming,2005.0
129,Keith Ross,Computernetzwerke: Der Top-Down-Ansatz,2008.0
123,Keith Ross,Peer-Assisted VoD: Making Internet Video Distribution Cheap.,2007.0
119,Keith Ross,Performance evaluation of redirection schemes in content distribution networks,2001.0
118,Keith Ross,Estimating age privacy leakage in online social networks,2012.0
117,Keith Ross,A top-down approach featuring the internet,2000.0
117,Keith Ross,Optimal load balancing and scheduling in a distributed computer system,1991.0
114,Keith Ross,Peer-assisted file distribution: The minimum distribution time,2006.0
113,Keith Ross,Algorithms to determine exact blocking probabilities for multirate tree networks,1990.0
112,Keith Ross,Video interactions in online video social networks,2009.0
112,Keith Ross,Adaptive rate control for streaming stored fine-grained scalable video,2002.0
111,Keith Ross,Substream trading: Towards an open P2P live streaming system,2008.0
107,Keith Ross,Understanding video interactions in youtube,2008.0
107,Keith Ross,A framework for guaranteeing statistical QoS,2002.0
99,Keith Ross,Computer Networking: A Top-Down Approach . 6th,2012.0
99,Keith Ross,Broadcast yourself: understanding YouTube uploaders,2011.0
98,Keith Ross,Data indexing in peer-to-peer dht networks,2004.0
97,Keith Ross,"What’s in a name: A study of names, gender inference, and gender behavior in facebook",2011.0
96,Keith Ross,Interactive video streaming with proxy servers,2002.0
96,Keith Ross,Optimal streaming of layered video,2000.0
96,Keith Ross,Multichain Markov decision processes with a sample path constraint: A decomposition approach,1991.0
93,Keith Ross,Topology-centric look-up service,2003.0
93,Keith Ross,Percentile performance criteria for limiting average Markov decision processes,1995.0
93,Keith Ross,Optimal priority assignment with hard constraint,1986.0
91,Keith Ross,Smart pre-fetching for peer assisted on-demand media,2014.0
91,Keith Ross,Routing in virtual path based ATM networks,1992.0
90,Keith Ross,Periodic broadcasting with VBR-encoded video,1999.0
90,Keith Ross,Improving the WWW: caching or multicast?,1998.0
85,Keith Ross,Markov decision processes with sample path constraints: the communicating case,1989.0
84,Keith Ross,Understanding and improving ratio incentives in private communities,2010.0
84,Keith Ross,On nonblocking multirate interconnection networks,1991.0
84,Keith Ross,Time-average optimal constrained semi-Markov decision processes,1986.0
83,Keith Ross,Optimizing file availability in peer-to-peer content distribution,2007.0
82,Keith Ross,Computer networks: A top down approach featuring the internet,2010.0
82,Keith Ross,计算机网络: 自顶向下方法与 Internet 特色,2005.0
79,Keith Ross,Adaptive content management in structured P2P communities,2006.0
79,Keith Ross,A lightweight currency paradigm for the P2P resource market,2004.0
78,Keith Ross,Understanding peer exchange in bittorrent systems,2010.0
76,Keith Ross,A peer-to-peer video-on-demand system using multiple description coding and server diversity,2004.0
74,Keith Ross,Multiclass P2P networks: Static resource allocation for service differentiation and bandwidth diversity,2005.0
73,Keith Ross,A measurement study of attacks on BitTorrent leechers.,2008.0
71,Keith Ross,Efficient blacklisting and pollution-level estimation in p2p file-sharing systems,2005.0
71,Keith Ross,Packet multiplexers with adversarial regulated traffic,1998.0
70,Keith Ross,Fluid modeling of pollution proliferation in p2p networks,2006.0
67,Keith Ross,P2P trading in social networks: The value of staying connected,2010.0
66,Keith Ross,Monotonicity properties for the stochastic knapsack,1990.0
62,Keith Ross,""" On the internet, nobody knows you're a dog"" a twitter case study of anonymity in social networks",2014.0
61,Keith Ross,Call admission for prerecorded sources with packet loss,1997.0
59,Keith Ross,Estimating the performance of hypothetical cloud service deployments: A measurement-based approach,2011.0
59,Keith Ross,Optimal scheduling of interactive and noninteractive traffic in telecommunication systems,1988.0
58,Keith Ross,Modeling and analysis of multichannel P2P live video systems,2010.0
56,Keith Ross,Children seen but not heard: When parents compromise children's online privacy,2015.0
56,Keith Ross,Guaranteeing statistical QoS to regulated traffic: The single node case,1999.0
55,Keith Ross,P2P video live streaming with MDC: Providing incentives for redistribution,2007.0
54,Keith Ross,I know where you are and what you are sharing: exploiting P2P communications to invade users' privacy,2011.0
53,Keith Ross,High-performance prefetching protocols for VBR prerecorded video,1998.0
53,Keith Ross,Teletraffic engineering for product-form circuit-switched networks,1990.0
52,Keith Ross,Insight into PPLive: A measurement study of a large-scale P2P IPTV system,2006.0
51,Keith Ross,Measuring and evaluating TCP splitting for cloud services,2010.0
51,Keith Ross,Queen: Estimating packet loss rate between arbitrary internet hosts,2009.0
50,Keith Ross,Waiting for anonymity: Understanding delays in the Tor overlay,2010.0
49,Keith Ross,A replicated architecture for the domain name system,2000.0
49,Keith Ross,Optimal dynamic scheduling in Jackson networks,1989.0
48,Keith Ross,Guaranteeing statistical QoS to regulated traffic: The multiple node case,1998.0
48,Keith Ross,On Routing in ATM Networks.,1993.0
47,Keith Ross,Streaming layered encoded video using peers,2005.0
47,Keith Ross,Optimal peer selection in a free-market peer-resource economy,2004.0
46,Keith Ross,Locating copies of objects using the domain name system,1999.0
46,Keith Ross,A dynamic programming methodology for managing prerecorded VBR sources in packet-switched networks,1998.0
43,Keith Ross,Optimal peer-assisted file distribution: Single and multi-class problems,2006.0
43,Keith Ross,Adaptive streaming of stored video in a TCP-friendly context: Multiple versions or multiple layers?,2001.0
43,Keith Ross,Monte Carlo summation and integration applied to multiclass queuing networks,1994.0
42,Keith Ross,A join-the-shortest-queue prefetching protocol for VBR video on demand,1997.0
41,Keith Ross,Internet e reti di calcolatori,2003.0
40,Keith Ross,A closer look at third-party OSN applications: Are they leaking your personal information?,2014.0
40,Keith Ross,Pulmonary hypertension in systemic lupus erythematosus: a systematic review and analysis of 642 cases in Chinese population,2013.0
