homecontinent,homelat,homelon,n,tooltip_name
Antartica,40.72951339999999,-73.9964609,2,"Yong Liu, Shivendra S  Panwar"
Antartica,40.7407266,-73.9948313,2,"Jin Li, Cheng Huang"
Antartica,30.5130043,114.4202756,1,Xiaojun Hei
Antartica,33.4532165,-112.0719833,1,Martin Reisslein
Antartica,60.1726348,24.9510419,1,Jussi Kangasharju
Antartica,30.3911309,-97.7516065,1,Zhengye Liu
Antartica,40.6942036,-73.98657899999999,2,"Yao Wang, Prithula Dhungel"
Antartica,22.3363998,114.2654655,1,Danny Tsang
Antartica,23.0965384,113.298883,2,"Di Wu, Ernst Biersack"
Antartica,43.1352919,-75.2292116,1,Chao Zhang
Antartica,46.9938549,6.9387031,1,Pascal Felber
Antartica,31.225854,121.53415,1,Ratan Dey
Antartica,-19.870682,-43.9677359,1,"Virgilio Almeida, professor of Compute..."
Antartica,48.8370198,2.1031187,1,Philippe Nain
Antartica,33.5019893,-86.8064433,1,Nitesh Saxena
Antartica,-34.920603,138.6062277,1,Minhui Xue (Jason Xue)
